
[0, 'www.food027.com', 'exp', 'exp_etcms_Upload_shell', 'http://food027.com/celive/uploadfiles/CELIVE-nj0dtb1NLK.php;.jpg', 'long', 'webshell']
[0, 'hndysw.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://hndysw.com/celive/live/doajaxfileupload.php', '', '']
[0, 'hndysw.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.hndysw.com/celive/uploadfiles/CELIVE-HMgMrdFXYv.php;.jpg', 'long', 'webshell']
[0, 'www.shcmusic.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.shcmusic.net/celive/live/doajaxfileupload.php', '', '']
[0, 'www.pangbobo.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.pangbobo.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.pangbobo.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.pangbobo.com/celive/uploadfiles/CELIVE-jBZLWuU8rM.php;.jpg', 'long', 'webshell']
[0, 'nihgwuweb.gotoip4.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://nihgwuweb.gotoip4.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.xyqy.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.xyqy.net/celive/live/doajaxfileupload.php', '', '']
[0, 'www.zg-cn.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.zg-cn.com/celive/live/doajaxfileupload.php', '', '']
[0, 'usazhengyu.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://usazhengyu.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.xyqy.net', 'exp', 'exp_etcms_Upload_shell', 'http://fwjxcn.s122.000pc.net/celive/uploadfiles/CELIVE-S9VZ125vCJ.php;.jpg', 'long', 'webshell']
[0, 'www.zg-cn.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.zg-cn.com/celive/uploadfiles/CELIVE-RqG3EqP0wl.php;.jpg', 'long', 'webshell']
[0, 'www.dingdi-sh.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.dingdi-sh.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.ahdfjd.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.ahdfjd.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dfbl.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.dfbl.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dfbl.cn', 'exp', 'exp_etcms_Upload_shell', 'http://127.0.0.1/celive/uploadfiles/CELIVE-lLYlmC90Ar.php;.jpg', 'long', 'webshell']
[0, 'ytxit.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://ytxit.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.dingdi-sh.com', 'exp', 'exp_dedecms_yijuhua', 'http://www.dingdi-sh.com/plus/dst.php', 'cmd', 'webshell']
[0, 'www.kingpluse.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.kingpluse.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.027sports.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.027sports.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.ou-huang.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.ou-huang.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.lm028.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.lm028.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.gdscom.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.gdscom.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.gdscom.cn', 'exp', 'exp_etcms_Upload_shell', 'http://hjgl.w9.cmseasy.net/celive/uploadfiles/CELIVE-2YK9Cj77oT.php;.jpg', 'long', 'webshell']
[0, 'www.sapooli.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.sapooli.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.cdlxtx.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.cdlxtx.com/celive/live/doajaxfileupload.php', '', '']
[0, 'zhoujuly.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://zhoujuly.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'kongfans.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://kongfans.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.fbidata.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.fbidata.com/celive/live/doajaxfileupload.php', '', '']
[0, 'lanxus.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://lanxus.com/celive/live/doajaxfileupload.php', '', '']
[0, 'huangjiachina.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://huangjiachina.com/celive/live/doajaxfileupload.php', '', '']
[0, 'shxiaocai.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://shxiaocai.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.qfgongju.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.qfgongju.com/celive/live/doajaxfileupload.php', '', '']
[0, 'shxiaocai.com', 'exp', 'exp_etcms_Upload_shell', 'http://choegg.com/celive/uploadfiles/CELIVE-nMKbUMEF9S.php;.jpg', 'long', 'webshell']
[0, 'huangjiachina.com', 'exp', 'exp_etcms_Upload_shell', 'http://cs.huangjiachina.com/celive/uploadfiles/CELIVE-7ZH5B8khKI.php;.jpg', 'long', 'webshell']
[0, 'www.stantex.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.stantex.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'boxwk.gotoip3.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://boxwk.gotoip3.com/celive/live/doajaxfileupload.php', '', '']
[0, 'aixiaotang.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://aixiaotang.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.scantt.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.scantt.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.szeg.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.szeg.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.szeg.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.donghaiwan.com/celive/uploadfiles/CELIVE-mSYoqiLkOU.php;.jpg', 'long', 'webshell']
[0, 'gaochengmp.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://gaochengmp.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.szbebt.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.szbebt.com/celive/live/doajaxfileupload.php', '', '']
[0, 'coise.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://coise.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'gaochengmp.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.gaochengmp.com/celive/uploadfiles/CELIVE-3FGlhu5NaN.php;.jpg', 'long', 'webshell']
[0, 'www.macroasia.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.macroasia.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'coise.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.coise.com.cn/celive/uploadfiles/CELIVE-2W4JiL9INR.php;.jpg', 'long', 'webshell']
[0, 'www.macroasia.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://localhost/celive/uploadfiles/CELIVE-NObaVqaBPp.php;.jpg', 'long', 'webshell']
